PEREXNO|FCLTUIN|FCLNAME|FCLTYAD|FCLTCIT|FCLCNTY|FCLSTCD|FCLZIPC|FCLGLAT|FCLGLON|S303D|
RIR100622|110037277602|TORY WOODS|OLD SCITUATE AVENUE|CRANSTON|RI007|RI|02921|41.7696653|-71.5376816||
RIR100624|110037105227|DANIEL AND SUSAN SHEDD|83 RUMSTICK ROAD|BARRINGTON|RI001|RI|02806|41.7305459|-71.303778||
RIR100631|110037277611|NARRAGANSETT ELECTRIC COMPANY|1870N 115KV TRANSMISSION LINE|S. KINGSTOWN TO CHARLESTOWN|RI009|RI|02813|41.3909455|-71.6792008||
RIR100634|110037944990|1870 115KV TRANSMISSION LINE|KENYON SUBSTA OFF SHANNOCK ROAD|S. KINGSTOWN|RI007|RI|02876|41.9936762|-71.5857478||
RIR100635|110037945007|RUMFORD CENTER|CORNER OF GREENWOOD AND NEWMAN|E. PROVIDENCE||RI|02916|41.8433174|-71.3527473||
RIR100636|110037945016|T F GREEN STATE AIRPORT|2000 POST ROAD|WARWICK||RI|028861533|0.0|0.0||
RIR100637|110037945025|CVS PHARMACY|681 RESERVOIR AVE.|CRANSTON|RI007|RI|02910|41.7807456|-71.4422139||
RIR100641|110037945034|L190 115KV TRANSMISSION LINE|KENT COUNTY SUBSTATION|WARWICK|RI007|RI|02907|41.8004877|-71.4269679||
RIR100642|110037945043|QUONSET POINT KIEFER PARK|CIRCUIT DRIVE|N. KINGSTOWN||RI|02852|41.607073|-71.4655565||
RIR100648|110012555225|BARRINGTON MIDDLE SCHOOL|261 MIDDLE HIGHWAY|BARRINGTON|RI001|RI|02806|41.7445457|-71.3328296||
RIR100649|110037945052|NEWPORT STATE AIRPORT|211 AIRPORT ACCESS ROAD|MIDDLETOWN|RI005|RI|02842|41.5455556|-71.2913889||
RIR100651|110037945061|FORT BARTON ELEMENTARY SCHOOL|242 MAIN ROAD|TIVERTON|RI005|RI|02878|41.666633|-71.186541||
RIR100652|110037945061|FORT BARTON ELEMENTARY SCHOOL|242 MAIN ROAD|TIVERTON|RI005|RI|02878|41.666633|-71.186541||
RIR100653|110021489290|CENTRAL HIGH SCHOOL|70 FRICKER STREET|PROVIDENCE|RI007|RI|02903|41.8164891|-71.4206124||
RIR100655|110001991649|CHARBERT DIV. OF NFA CORP.|299 CHURCH STREET|ALTON|RI009|RI|02894|41.4376|-71.7172884||
RIR100656|110037105236|THE SHOPS AT QUONSET POINT|NE OF POST ROAD AND GATE ROAD|N. KINGSTOWN||RI|02852|41.607073|-71.4655565||
RIR100661|110037105245|NEWPORT HEIGHTS (PHASE IV)|HILLSIDE AVENUE|NEWPORT|RI005|RI|02840|41.5106692|-71.3081639||
RIR100662|110037277620|FM GLOBAL|CENTRAL AVENUE|JOHNSTON|RI007|RI|02919|41.8217003|-71.5158917||
RIR100664|110037945016|T F GREEN STATE AIRPORT|2000 POST ROAD|WARWICK||RI|028861533|0.0|0.0||
RIR100667|110037945338|FORMER EXETER LANDFILL|VICTORY HIGHWAY|EXETER|RI009|RI|02822|41.5889887|-71.6319068||
RIR100669|110037105263|LOWE'S OF NORTH KINGSTOWN, RI|MAP 190, PARCEL 4 OFF DAVISVILLE RD.|N. KINGSTOWN||RI|02852|41.607073|-71.4655565||
RIR100670|110037945347|RIVERVIEW PLACE|131-133 PITMAN STREET|PROVIDENCE|RI007|RI|02906|41.826656|-71.387501||
RIR100671|110037105281|7400 POST ROAD|7400 POST ROAD|N. KINGSTOWN|RI009|RI|02852|41.576531|-71.46031||
RIR100673|110037277639|1011 AND 1015 CRANSTON STREET|1011 AND 1015 CRANSTON STREET|CRANSTON|RI007|RI|02910|41.7993075|-71.4475138||
RIR100676|110037277648|WOONSOCKET MIDDLE SCHOOL DEMO SITES|HAMLET AVE, FLORENCE DR, WILLANOVA ST|WOONSOCKET|RI007|RI|02895|42.0028761|-71.5147839||
RIR100677|110037277657|TEAM, INC.|PARK EAST DRIVE|WOONSOCKET|RI007|RI|02895|41.9973227|-71.4732867||
RIR100681|110001664084|ROGER WILLIAMS UNIVERSITY|ONE OLD FERRY ROAD,  PLAT 164C, LOT 2|BRISTOL|RI001|RI|02809-2921|41.6770463|-71.2661597||
RIR100687|110040088810|ABBOTT'S CROSSING|1401 MAIN STREET|COVENTRY||RI|02816|41.6962336|-71.5961328||
RIR100691|110037277666|LOWE'S OF NORTH PROVIDENCE|1703 MINERAL SPRING AVENUE|NORTH PROVIDENCE|RI007|RI|02904|41.8629231|-71.4547043||
RIR100695|110040088829|GENTLEMAN FARMER RESTAURANT|35 SHARON DRIVE|COVENTRY||RI|02816|41.6962336|-71.5961328||
RIR100706|110040088838|CVS|63 NEWPORT AVENUE|EAST PROVIDENCE|RI007|RI|02916|41.858527|-71.355029||
RIR100709|110040088847|VALLEY VIEW APARTMENTS|10 MANVILLE HILL ROAD|CUMBERLAND|RI007|RI|02864|41.934334|-71.4040893||
RIR100721|110040088856|HYDRAULION ENGINE & HOSE CO.|4 ANNAWAMSCUTT DRIVE|BRISTOL||RI|02809|0.0|0.0||
RIR100723|110040088865|CVS|500 MAIN ROAD|TIVERTON|RI005|RI|02878|41.659273|-71.190382||
RIR110000||||||||0.0|0.0||
RIR110003|110004936570|NARRAGANETT IMAGING|51 INDUSTRIAL DRIVE|NORTH SMITHFIELD|RI007|RI|02896|41.991653|-71.566666||
RIR110017|110000771898|ELMWOOD SENSORS, INC.|500 NARRAGANSETT PARKWAY DRIVE|PAWTUCKET|RI007|RI|028614325|41.866653|-71.349991|Y|
RIR110025|110009813498|TRUK-AWAY OF RI, INC.|65, 17 & 11 O'KEEFE LANE|WARWICK|RI003|RI|02888|41.758331|-71.4375||
RIR110032|110000904996|RAYTHEON COMPANY|1847 WEST MAIN ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR110036|110000895096|LEVITON MFG. CO., INC.|745 JEFFERSON BLVD.|WARWICK|RI003|RI|02886|41.724991|-71.458328|Y|
RIR110124|110012481858|B.A. BALLOU & COMPANY, INC.|800 WATERMAN AVENUE|EAST PROVIDENCE|RI007|RI|02914|41.816666|-71.349991|Y|
RIR110144|110012483259|MODINE MANUFACTURING COMPANY|604 LIBERTY LANE|WEST KINGSTON|RI009|RI|02892|41.479813|-71.572552||
RIR110235|110004936339|FIRST STUDENT, INC., #1245|(FORMERLY RYDER STUDENT TRANS)|SMITHFIELD|RI007|RI|02917|0.0|0.0||
RIR110256|110028183310|C. PEZZA & SON/GRANITE ASPHALT|CORPORATION|JOHNSTON|RI007|RI|02919|0.0|0.0||
RIR110337|110000312527|A.T. CROSS COMPANY|ONE ALBION ROAD|LINCOLN|RI007|RI|02865|41.9370414|-71.4807201||
RIR110344|110006693783|LAIDLAW TRANSIT, INC.|6 BLACK PLAIN ROAD|EXETER|RI009|RI|02822|41.58969|-71.654039||
RIR110345|110009813274|LAIDLAW TRANSIT, INC.|108 POND STREET|WEST WARWICK|RI003|RI|02893|41.704594|-71.530054||
RIR110346|110009813283|LAIDLAW TRANSIT, INC.|60 WOOD STREET|COVENTRY|RI003|RI|02816|41.6962336|-71.5961328||
RIR110347|110006802692|LAIDLAW TRANSIT, INC.|3347 SOUTH COUNTY TRAIL|EAST GREENWICH|RI003|RI|02886|41.7034769|-71.4655565||
